Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,CAP_0805,-34.925,46.99,90,bottom
C2,100n,CAP_0805,-18.415,46.99,90,bottom
C3,100n,CAP_0805,18.415,46.99,90,bottom
C4,100n,CAP_0805,34.925,46.99,90,bottom
C5,100n,CAP_0805,-40.005,20.955,270,bottom
C6,100n,CAP_0805,-13.335,20.955,270,bottom
C7,100n,CAP_0805,13.335,20.955,270,bottom
C8,100n,CAP_0805,40.005,20.955,270,bottom
C9,100n,CAP_0805,-40.005,-5.715,270,bottom
C10,100n,CAP_0805,-13.335,-5.715,270,bottom
C11,100n,CAP_0805,13.335,-5.715,270,bottom
C12,100n,CAP_0805,40.005,-5.715,270,bottom
C13,100n,CAP_0805,-40.005,-32.385,270,bottom
C14,100n,CAP_0805,-13.335,-32.385,270,bottom
C15,100n,CAP_0805,13.335,-32.385,270,bottom
C16,100n,CAP_0805,40.005,-32.385,270,bottom
C17,100n,CAP_0805,-40.005,43.815,90,bottom
C18,100n,CAP_0805,-37.465,43.815,90,bottom
C19,100n,CAP_0805,-42.545,43.815,90,bottom
C20,100n,CAP_0805,-13.335,43.815,90,bottom
C21,100n,CAP_0805,-10.795,43.815,90,bottom
C22,100n,CAP_0805,-15.875,43.815,90,bottom
C23,100n,CAP_0805,13.335,43.815,90,bottom
C24,100n,CAP_0805,15.875,43.815,90,bottom
C25,100n,CAP_0805,10.795,43.815,90,bottom
C26,100n,CAP_0805,40.005,43.815,90,bottom
C27,100n,CAP_0805,42.545,43.815,90,bottom
C28,100n,CAP_0805,37.465,43.815,90,bottom
C29,100n,CAP_0805,-40.005,17.145,90,bottom
C30,100n,CAP_0805,-37.465,17.145,90,bottom
C31,100n,CAP_0805,-42.545,17.145,90,bottom
C32,100n,CAP_0805,-13.335,17.145,90,bottom
C33,100n,CAP_0805,5.08,-29.21,90,bottom
C34,1u,CAP_0805,-2,2,180,bottom
C35,100n,CAP_0805,-10.795,17.145,90,bottom
C36,1u,CAP_0805,2,-4,0,bottom
