Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","CAP_0805",34.925000,46.990000,90.000000,bottom
"C2","100n","CAP_0805",18.415000,46.990000,90.000000,bottom
"C3","100n","CAP_0805",-18.415000,46.990000,90.000000,bottom
"C4","100n","CAP_0805",-34.925000,46.990000,90.000000,bottom
"C5","100n","CAP_0805",40.005000,20.955000,270.000000,bottom
"C6","100n","CAP_0805",13.335000,20.955000,270.000000,bottom
"C7","100n","CAP_0805",-13.335000,20.955000,270.000000,bottom
"C8","100n","CAP_0805",-40.005000,20.955000,270.000000,bottom
"C9","100n","CAP_0805",40.005000,-5.715000,270.000000,bottom
"C10","100n","CAP_0805",13.335000,-5.715000,270.000000,bottom
"C11","100n","CAP_0805",-13.335000,-5.715000,270.000000,bottom
"C12","100n","CAP_0805",-40.005000,-5.715000,270.000000,bottom
"C13","100n","CAP_0805",40.005000,-32.385000,270.000000,bottom
"C14","100n","CAP_0805",13.335000,-32.385000,270.000000,bottom
"C15","100n","CAP_0805",-13.335000,-32.385000,270.000000,bottom
"C16","100n","CAP_0805",-40.005000,-32.385000,270.000000,bottom
"C17","100n","CAP_0805",40.005000,43.815000,90.000000,bottom
"C18","100n","CAP_0805",37.465000,43.815000,90.000000,bottom
"C19","100n","CAP_0805",42.545000,43.815000,90.000000,bottom
"C20","100n","CAP_0805",13.335000,43.815000,90.000000,bottom
"C21","100n","CAP_0805",10.795000,43.815000,90.000000,bottom
"C22","100n","CAP_0805",15.875000,43.815000,90.000000,bottom
"C23","100n","CAP_0805",-13.335000,43.815000,90.000000,bottom
"C24","100n","CAP_0805",-15.875000,43.815000,90.000000,bottom
"C25","100n","CAP_0805",-10.795000,43.815000,90.000000,bottom
"C26","100n","CAP_0805",-40.005000,43.815000,90.000000,bottom
"C27","100n","CAP_0805",-42.545000,43.815000,90.000000,bottom
"C28","100n","CAP_0805",-37.465000,43.815000,90.000000,bottom
"C29","100n","CAP_0805",40.005000,17.145000,90.000000,bottom
"C30","100n","CAP_0805",37.465000,17.145000,90.000000,bottom
"C31","100n","CAP_0805",42.545000,17.145000,90.000000,bottom
"C32","100n","CAP_0805",13.335000,17.145000,90.000000,bottom
"C33","100n","CAP_0805",-5.080000,-29.210000,90.000000,bottom
"C34","1u","CAP_0805",2.000000,2.000000,180.000000,bottom
"C35","100n","CAP_0805",10.795000,17.145000,90.000000,bottom
"C36","1u","CAP_0805",-2.000000,-4.000000,-0.000000,bottom
"C37","4n7","CAP_0805",-2.500000,46.990000,270.000000,bottom
"C38","10u","CAP_0805",5.500000,2.000000,-0.000000,bottom
"C39","100n","CAP_0805",5.500000,-2.000000,-0.000000,bottom
