Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C506,100n,CAP_0402,3.2500,14.5000,270.0000,top
C507,100n,CAP_0402,6.2500,14.5000,270.0000,top
C508,10u,CAP_0402,6.2500,16.5000,90.0000,top
C509,10u,CAP_0402,1.0000,15.0000,270.0000,top
C510,10u,CAP_0402,-2.0000,15.0000,270.0000,top
C511,100n,CAP_0402,0.0000,15.0000,90.0000,top
C512,100n,CAP_0402,-1.0000,15.0000,270.0000,top
D501,LED,LED_0402_1005Metric,5.2500,14.5000,90.0000,top
D502,LED,LED_0402_1005Metric,4.2500,14.5000,90.0000,top
J501,TYPE-C-32-M-12,USB_C_Korean_Hroparts_TYPE-C-31-M-12,0.0000,21.7350,180.0000,top
R501,1k,RES_0402,-1.2500,4.5000,0.0000,top
R502,1k,RES_0402,1.2500,4.5000,180.0000,top
R504,5k1,RES_0402,6.2500,18.5000,270.0000,top
R505,5k1,RES_0402,5.2500,18.5000,270.0000,top
R509,1k,RES_0402,5.2500,16.5000,270.0000,top
R510,1k,RES_0402,4.2500,16.5000,270.0000,top
R511,1k,RES_0402,-4.2500,7.7500,270.0000,top
R512,1k,RES_0402,-3.2500,7.7500,270.0000,top
R513,4k7,RES_0402,6.7500,10.5000,90.0000,top
SW501,C2905169,SW_SPST_CK_RS282G05A3,-11.0000,5.0000,90.0000,top
SW502,C2905169,SW_SPST_CK_RS282G05A3,-6.7500,5.0000,90.0000,top
U501,~,SOT-23-5,-4.5000,15.7500,90.0000,top
U503,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,0.0000,10.2500,90.0000,top
U504,CH340X,MSOP-10_3x3mm_P0.5mm,4.7500,10.2500,0.0000,top
USB501,U261-241N-4BS60,USB-TYPE-C-SMD_U261-241N-4BS60,0.0000,0.0000,0.0000,top
Y501,12MHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,-4.5000,11.7500,90.0000,top
